% 1. Training data set for poor performence

@RELATION poor_perf

@ATTRIBUTE ctr real
@ATTRIBUTE cpc real
@ATTRIBUTE install_per_click real
@ATTRIBUTE uv_per_click real
@ATTRIBUTE add_per_click real
@ATTRIBUTE wishlist_per_click real
@ATTRIBUTE order_per_click real
@ATTRIBUTE 'Class' {yes,no}

@data
0.01913884,0.04965078,0.05667357,0.61393904,0.02892263,0.01181007,0.0253073,no
0.0081736,0.08803227,0.03120867,0.13673631,0.01353965,0.00580271,0.03868472,yes
0.01438685,0.0498996,0.07195011,0.22847581,0.02197071,0.01531292,0.0379494,yes
0.02646846,0.08218679,0.09892041,0.21993472,0.03995434,0.01369863,0.01484018,yes
0.01877579,0.05638788,0.03619048,0.42874459,0.03029079,0.01898223,0.02382876,yes
0.01283613,0.07720057,0.23667224,0.28615826,0.03759398,0.0267335,0.02589808,yes
0.01591012,0.15794319,0.06856024,0.16993144,0.04322767,0.01152738,0.00864553,yes
0.01661018,0.03196982,0.09680302,0.15756553,0.02205419,0.01575299,0.02709515,yes
0.02832135,0.01887671,0.06873139,0.21876117,0.0196025,0.01007351,0.01306834,yes
0.00919092,0.13048507,0.05058043,0.11111111,0.03358209,0,0.00373134,yes
0.01048312,0.08114012,0.04162358,0.19441572,0.01196809,0.00797872,0.02792553,yes
0.01535078,0.03198019,0.09211601,0.16758578,0.01340646,0.00853138,0.05423522,yes
0.01854443,0.04347536,0.06822612,0.32358674,0.02237522,0.01204819,0.03700516,no
0.02012531,0.04328537,0.08661306,0.45323741,0.02396514,0.01182695,0.03299097,no
0.01920717,0.03797879,0.04179663,0.1592015,0.01175549,0.00940439,0.03056426,yes
0.02379531,0.12096376,0.04659498,0.13739546,0.04927536,0.0115942,0,yes
0.02284555,0.04159041,0.07589041,0.44205479,0.0210722,0.01115587,0.02912922,no
0.02444317,0.03546502,0.09065256,0.20011758,0.01116334,0.00646298,0.03172738,yes
0.03139866,0.01774192,0.0462848,0.09942661,0.0196195,0.00891795,0.03448276,yes
0.01791072,0.03419502,0.07261932,0.13736013,0.0241064,0.00498753,0.03990025,yes
0.03308512,0.03258019,0.06262274,0.11968143,0.02187785,0.01640839,0.02917046,yes
