@relation 'poor performance'

@attribute ctr real
@attribute cpc real
@attribute cpm real
@attribute cpuv real
@attribute order_rate_uv real
@attribute paid_rate_uv real
@attribute gmv_per_uv real
@attribute roi real

@data
0.03599588,0.04021393,1.44753581,0.0819515,0.02520783,0.01693292,0.20230127,2.4685487
0.01597714,0.04709168,0.75239043,0.10062701,0.08052962,0.05171442,0.17789561,1.76787128
0.02934786,0.02625245,0.77045309,0.0533574,0.03162406,0.02216387,0.15047726,2.82017585
0.02956359,0.04421098,1.30703543,0.07666568,0.03559389,0.02194461,0.18594884,2.42545102
0.01696865,0.05218566,0.88552027,0.17922558,0.03321759,0.01945882,0.18957086,1.05772211
0.04541013,0.01794952,0.81508983,0.07800116,0.01808828,0.01161633,0.06799286,0.87169041
0.03799297,0.01435185,0.54526946,0.09390382,0.03382557,0.02360217,0.1105869,1.17766129
0.0178836,0.03409571,0.6097542,0.12562308,0.02613726,0.01756766,0.14602514,1.16240691
0.01801463,0.06747394,1.21551814,0.10950327,0.0486574,0.03748492,0.23849552,2.1779763
0.04940723,0.01403233,0.69329848,0.05587782,0.02867607,0.02322138,0.13908361,2.48906677
0.02850606,0.0268494,0.76537077,0.15295177,0.04050576,0.02920443,0.17998881,1.17676838
0.01679213,0.04416635,0.74164725,0.225172,0.02021726,0.01005834,0.09105311,0.40437137
0.04933871,0.02607012,1.28626601,0.05470424,0.02007831,0.01691244,0.09724194,1.77759418
0.04544037,0.02659928,1.20868123,0.05380448,0.01955971,0.01714493,0.1304898,2.42525881
0.03208448,0.03323366,1.06628461,0.0662364,0.0302152,0.01838323,0.14727587,2.22348837
0.0445305,0.02723661,1.21285995,0.05269214,0.04266667,0.02579104,0.15123104,2.87008739
0.0136688,0.06208157,0.84858051,0.13481739,0.02701005,0.01704953,0.16326678,1.21102166
0.0281745,0.03497204,0.98531992,0.06949218,0.03942387,0.03238683,0.14854691,2.13760615
0.01796658,0.0461944,0.82995568,0.07680232,0.0304607,0.02170842,0.22346025,2.90955099
0.01208566,0.06801137,0.82196205,0.28075368,0.03614251,0.02877698,0.16341812,0.58206938
0.02713386,0.04110689,1.11538865,0.1021515,0.03499299,0.02715331,0.22134676,2.16684794
0.03159427,0.02650949,0.83754803,0.08192808,0.03609052,0.02145923,0.11471518,1.40019367
0.01481398,0.06210038,0.91995351,0.10616628,0.03757423,0.0242217,0.24704121,2.32692731
0.02228746,0.03862272,0.86080223,0.11501297,0.03188461,0.0224584,0.22389131,1.94666146
0.03965469,0.02677757,1.0618561,0.07384264,0.01792724,0.01511512,0.14819146,2.00685486
0.01966107,0.03740063,0.73533631,0.16136703,0.02476296,0.01730645,0.0924229,0.57274962
0.02699584,0.04268551,1.15233122,0.05655244,0.02914709,0.02303469,0.2004423,3.54436188
0.04918057,0.02574719,1.26626147,0.05792251,0.01768891,0.01538166,0.10030908,1.73178039
0.01953758,0.03218787,0.62887301,0.10854061,0.06550281,0.04436589,0.19365532,1.78417376
0.02734396,0.02511125,0.68664113,0.07854067,0.03530206,0.02186973,0.19068917,2.42790354
0.05521539,0.02315287,1.27839478,0.03115734,0.02234191,0.01742965,0.19006362,6.10012347
0.03753086,0.03200533,1.20118753,0.07376877,0.01755276,0.01334213,0.13813159,1.87249421
0.03344779,0.03860286,1.29118021,0.07399263,0.03386167,0.01911341,0.09119893,1.23254082
0.02688834,0.04017093,1.08012982,0.10794387,0.0488697,0.0264436,0.22375007,2.07283716
0.07621342,0.01155434,0.88059595,0.031906,0.01805283,0.01342877,0.09800025,3.07153067
0.04192946,0.01581475,0.66310397,0.06307883,0.01874311,0.01304667,0.08934491,1.41640084
0.02391908,0.01845871,0.44151539,0.1339822,0.05928787,0.03409473,0.09388982,0.70076342
0.03197947,0.03800476,1.21537211,0.07790294,0.02997848,0.0224241,0.21372269,2.74344827
0.03685124,0.02076103,0.76506966,0.08406823,0.04224154,0.02891703,0.12343697,1.4682951
0.09519001,0.00969765,0.92311945,0.03384666,0.02730096,0.02059833,0.15423165,4.55677647
0.03543286,0.0295879,1.04838422,0.10035141,0.03784385,0.02210208,0.25266497,2.51780197
